r/R,Lc [m],Twist [deg],a,a',dT,dM,Re No., ,Inputs
0.06666666666666667,0.048,47.57268965319321,0.2871714256240346,0.9313990572260501,0.40839204815172875,-0.37327031195357235,216522.15385472993,TSR [-],5.06
0.1,0.07026932288245087,36.73491409158914,0.3047456420154737,0.391643383821027,0.3227578354985367,0.30956190492099434,69535.96691886689,Radius [m],0.45
0.16666666666666669,0.086622461894566,29.467562814640416,0.3289111826976807,0.042029695454519435,0.5529427937217773,0.4097106728839928,95779.98947614926,No. Segments [-],15
0.23333333333333334,0.08761790216335875,23.09696862287465,0.34228788363690604,-0.07277133750409047,0.802152177350141,0.46623638700899417,111899.3593934566,Airfoil [-],NACA64-618
0.3,0.08533754413688072,18.759334396847823,0.35475292694988725,-0.15335796029929194,1.0288128396308915,0.4979875587459776,122722.67429064245,Cl [-],1.228
0.3666666666666667,0.08427781666020115,15.59773102119523,0.36683376600169804,-0.2150519097442118,1.2639563437037833,0.5278764888591072,133835.3677417493,Cd [-],0.0178
0.43333333333333335,0.0802974958752501,8.444067203332452,0.32871892319186596,0.043964112639921366,2.8440272464500462,0.7894464806436988,191546.7821110134,AoA_opt [deg],7.9
0.5,0.07184802021157179,6.477834877144413,0.3297790397265548,0.03341379157007551,3.269614143270246,0.7878253310081607,193923.10788196116,,
0.5666666666666667,0.06481175484110317,4.917686249341129,0.330517772489652,0.02622614321617515,3.676274938085179,0.7805603915439749,195584.47562098794,,
0.6333333333333334,0.05891855174824977,3.6535119448107944,0.3310511812111143,0.021117694598503284,4.048745978915184,0.7667064031994634,196788.96507789262,,
0.7,0.05393990697572531,2.610514992353553,0.33144796043797053,0.017361142794962942,4.359428706714379,0.7436097332786861,197689.02200738448,,
0.7666666666666667,0.0496942217737679,1.736538579494137,0.3317506096430612,0.014520292544446457,4.558297574371125,0.7061576983316132,198378.90809180756,,
0.8333333333333335,0.04603999989483042,0.9943062022701652,0.33198645107359537,0.012321080880750646,4.552246608529783,0.6449509875631604,198919.24716656332,,
0.9,0.0428673283426318,0.35657030999786,0.33217364488472356,0.010584492603163348,4.151024290927155,0.541048300748001,199350.37627351872,,
0.9666666666666668,0.040090463495204974,-0.19699398793279294,0.33232461709791267,0.00918968351429682,2.8071737223755786,0.33834109798509077,199699.93749957223,,
1,0.040090463495204974,-0.19699398793279294,0.33232461709791267,0.00918968351429682,1.4035868611877844,0.16917054899254477,199699.93749957223,,
