TSR	Cp	Ct
1	0.0200958	0.110681
1.1	0.0248347	0.117561
1.2	0.0303588	0.125536
1.3	0.0367589	0.134763
1.4	0.0439536	0.145164
1.5	0.0514081	0.156369
1.6	0.0594424	0.168313
1.7	0.0672109	0.180829
1.8	0.0747021	0.193405
1.9	0.0817819	0.206058
2	0.0882392	0.218206
2.1	0.0938507	0.229712
2.2	0.0993409	0.241119
2.3	0.106171	0.253063
2.4	0.112128	0.264637
2.5	0.118447	0.276095
2.6	0.12748	0.288877
2.7	0.138711	0.303297
2.8	0.151023	0.318753
2.9	0.16577	0.335826
3	0.182575	0.354807
3.1	0.201287	0.375273
3.2	0.223099	0.399171
3.3	0.243795	0.423337
3.4	0.265656	0.448596
3.5	0.286901	0.474556
3.6	0.305391	0.49948
3.7	0.321668	0.523325
3.8	0.336742	0.546939
3.9	0.350798	0.570477
4	0.363747	0.593921
4.1	0.375656	0.617555
4.2	0.385998	0.640065
4.3	0.395126	0.661808
4.4	0.403249	0.683504
4.5	0.410114	0.704201
4.6	0.415964	0.724245
4.7	0.420123	0.742445
4.8	0.422486	0.756135
4.9	0.424486	0.768646
5	0.426065	0.780441
5.1	0.427279	0.791798
5.2	0.428159	0.802756
5.3	0.428755	0.81351
5.4	0.429009	0.823842
5.5	0.429021	0.833955
5.6	0.428754	0.843927
5.7	0.428213	0.853605
5.8	0.427445	0.863028
5.9	0.426448	0.872083
6	0.425173	0.881067
6.1	0.423717	0.889729
6.2	0.422021	0.898259
6.3	0.420094	0.906626
6.4	0.417972	0.914861
6.5	0.415637	0.922836
6.6	0.412967	0.930631
6.7	0.410024	0.938316
6.8	0.406811	0.945836
6.9	0.403398	0.953227
7	0.39985	0.960439
7.1	0.396083	0.967539
7.2	0.392064	0.97459
7.3	0.38784	0.981611
7.4	0.383362	0.988505
7.5	0.37867	0.995265
7.6	0.3738	1.00177
7.7	0.36869	1.00805
7.8	0.363379	1.01418
7.9	0.357864	1.02002
8	0.352169	1.02554
8.1	0.346384	1.03088
8.2	0.340585	1.03576
8.3	0.33468	1.04047
8.4	0.328672	1.04492
8.5	0.322614	1.04911
8.6	0.316517	1.0527
8.7	0.310585	1.05568
8.8	0.304545	1.0585
8.9	0.298638	1.06074
9	0.29256	1.06289
9.1	0.286376	1.06495
9.2	0.280011	1.06694
9.3	0.273521	1.06885
9.4	0.266869	1.07067
9.5	0.260073	1.07242
9.6	0.253169	1.07409
9.7	0.246049	1.07569
9.8	0.238793	1.0772
9.9	0.231451	1.07865
10	0.224028	1.08002
10.1	0.216477	1.08136
10.2	0.208768	1.08262
10.3	0.20087	1.08381
10.4	0.192861	1.08493
10.5	0.184717	1.08597
10.6	0.176383	1.08694
10.7	0.167911	1.08784
10.8	0.159282	1.08867
10.9	0.150367	1.08945
11	0.141255	1.09015
11.1	0.132117	1.09077
11.2	0.122902	1.09131
11.3	0.113541	1.09178
11.4	0.104005	1.09217
11.5	0.0943388	1.09249
11.6	0.0845177	1.09273
11.7	0.0801238	1.09826
11.8	0.070147	1.09846
11.9	0.0599868	1.09858
12	0.049661	1.09864
12	0.049661	1.09864
