AoA 	Cl 	Cd 	Cm
-10.00 	  -0.377 	  0.1052 	 -0.0433
-9.90 	  -0.378 	  0.1038 	 -0.0435
-9.80 	  -0.379 	  0.1022 	 -0.0439
-9.70 	  -0.376 	  0.0999 	 -0.0459
-9.60 	  -0.373 	  0.0977 	 -0.0478
-9.50 	  -0.371 	  0.0952 	 -0.0499
-9.40 	  -0.369 	  0.0926 	 -0.0521
-9.30 	  -0.366 	  0.0901 	 -0.0545
-9.20 	  -0.365 	  0.0872 	 -0.0571
-9.10 	  -0.366 	  0.0837 	 -0.0601
-9.00 	  -0.366 	  0.0804 	 -0.0629
-8.90 	  -0.369 	  0.0767 	 -0.0664
-8.80 	  -0.372 	  0.0730 	 -0.0701
-8.70 	  -0.376 	  0.0693 	 -0.0743
-8.60 	  -0.380 	  0.0658 	 -0.0782
-8.50 	  -0.387 	  0.0631 	 -0.0806
-8.40 	  -0.393 	  0.0603 	 -0.0837
-8.30 	  -0.396 	  0.0575 	 -0.0876
-8.20 	  -0.401 	  0.0553 	 -0.0895
-8.10 	  -0.401 	  0.0519 	 -0.0942
-8.00 	  -0.396 	  0.0483 	 -0.0996
-7.90 	  -0.397 	  0.0464 	 -0.1004
-7.80 	  -0.392 	  0.0443 	 -0.1025
-7.70 	  -0.384 	  0.0418 	 -0.1052
-7.60 	  -0.374 	  0.0395 	 -0.1077
-7.50 	  -0.371 	  0.0384 	 -0.1077
-7.40 	  -0.362 	  0.0373 	 -0.1086
-7.30 	  -0.352 	  0.0358 	 -0.1101
-7.20 	  -0.340 	  0.0343 	 -0.1117
-7.10 	  -0.327 	  0.0329 	 -0.1132
-7.00 	  -0.320 	  0.0318 	 -0.1132
-6.90 	  -0.310 	  0.0306 	 -0.1136
-6.80 	  -0.298 	  0.0295 	 -0.1144
-6.70 	  -0.286 	  0.0284 	 -0.1152
-6.60 	  -0.272 	  0.0274 	 -0.1161
-6.50 	  -0.259 	  0.0265 	 -0.1169
-6.40 	  -0.253 	  0.0257 	 -0.1161
-6.30 	  -0.243 	  0.0249 	 -0.1163
-6.20 	  -0.231 	  0.0242 	 -0.1168
-6.10 	  -0.218 	  0.0236 	 -0.1173
-6.00 	  -0.204 	  0.0230 	 -0.1180
-5.90 	  -0.195 	  0.0225 	 -0.1180
-5.80 	  -0.185 	  0.0221 	 -0.1179
-5.70 	  -0.173 	  0.0216 	 -0.1182
-5.60 	  -0.160 	  0.0211 	 -0.1188
-5.50 	  -0.146 	  0.0206 	 -0.1194
-5.40 	  -0.132 	  0.0200 	 -0.1202
-5.30 	  -0.123 	  0.0197 	 -0.1200
-5.20 	  -0.110 	  0.0194 	 -0.1204
-5.10 	  -0.096 	  0.0188 	 -0.1216
-5.00 	  -0.081 	  0.0185 	 -0.1226
-4.90 	  -0.065 	  0.0181 	 -0.1238
-4.80 	  -0.052 	  0.0177 	 -0.1244
-4.70 	  -0.038 	  0.0172 	 -0.1256
-4.60 	  -0.022 	  0.0168 	 -0.1269
-4.50 	  -0.006 	  0.0165 	 -0.1281
-4.40 	   0.012 	  0.0161 	 -0.1299
-4.30 	   0.028 	  0.0158 	 -0.1311
-4.20 	   0.043 	  0.0154 	 -0.1323
-4.10 	   0.061 	  0.0150 	 -0.1339
-4.00 	   0.079 	  0.0147 	 -0.1357
-3.90 	   0.098 	  0.0142 	 -0.1378
-3.80 	   0.124 	  0.0129 	 -0.1428
-3.70 	   0.138 	  0.0129 	 -0.1433
-3.60 	   0.154 	  0.0129 	 -0.1442
-3.50 	   0.171 	  0.0130 	 -0.1452
-3.40 	   0.189 	  0.0130 	 -0.1465
-3.30 	   0.204 	  0.0131 	 -0.1472
-3.20 	   0.219 	  0.0132 	 -0.1479
-3.10 	   0.236 	  0.0132 	 -0.1490
-3.00 	   0.252 	  0.0132 	 -0.1499
-2.90 	   0.266 	  0.0132 	 -0.1504
-2.80 	   0.282 	  0.0133 	 -0.1513
-2.70 	   0.298 	  0.0133 	 -0.1523
-2.60 	   0.312 	  0.0133 	 -0.1527
-2.50 	   0.326 	  0.0134 	 -0.1533
-2.40 	   0.340 	  0.0134 	 -0.1538
-2.30 	   0.354 	  0.0134 	 -0.1543
-2.20 	   0.368 	  0.0134 	 -0.1550
-2.10 	   0.382 	  0.0133 	 -0.1555
-2.00 	   0.395 	  0.0133 	 -0.1559
-1.90 	   0.408 	  0.0133 	 -0.1565
-1.80 	   0.421 	  0.0133 	 -0.1569
-1.70 	   0.433 	  0.0133 	 -0.1571
-1.60 	   0.446 	  0.0133 	 -0.1574
-1.50 	   0.458 	  0.0133 	 -0.1576
-1.40 	   0.469 	  0.0133 	 -0.1577
-1.30 	   0.481 	  0.0133 	 -0.1579
-1.20 	   0.494 	  0.0133 	 -0.1582
-1.10 	   0.505 	  0.0133 	 -0.1583
-1.00 	   0.517 	  0.0133 	 -0.1584
-0.90 	   0.529 	  0.0133 	 -0.1586
-0.80 	   0.541 	  0.0134 	 -0.1588
-0.70 	   0.552 	  0.0134 	 -0.1589
-0.60 	   0.564 	  0.0134 	 -0.1590
-0.50 	   0.575 	  0.0134 	 -0.1592
-0.40 	   0.588 	  0.0135 	 -0.1595
-0.30 	   0.599 	  0.0135 	 -0.1596
-0.20 	   0.610 	  0.0135 	 -0.1596
-0.10 	   0.621 	  0.0135 	 -0.1596
-0.00 	   0.633 	  0.0135 	 -0.1598
 0.10 	   0.644 	  0.0136 	 -0.1598
 0.20 	   0.655 	  0.0136 	 -0.1598
 0.30 	   0.666 	  0.0136 	 -0.1599
 0.40 	   0.677 	  0.0137 	 -0.1600
 0.50 	   0.689 	  0.0137 	 -0.1601
 0.60 	   0.701 	  0.0137 	 -0.1602
 0.70 	   0.712 	  0.0138 	 -0.1603
 0.80 	   0.723 	  0.0138 	 -0.1603
 0.90 	   0.734 	  0.0138 	 -0.1605
 1.00 	   0.746 	  0.0139 	 -0.1605
 1.10 	   0.757 	  0.0139 	 -0.1606
 1.20 	   0.768 	  0.0140 	 -0.1607
 1.30 	   0.779 	  0.0140 	 -0.1607
 1.40 	   0.790 	  0.0140 	 -0.1607
 1.50 	   0.801 	  0.0141 	 -0.1607
 1.60 	   0.812 	  0.0141 	 -0.1608
 1.70 	   0.824 	  0.0142 	 -0.1609
 1.80 	   0.835 	  0.0142 	 -0.1610
 1.90 	   0.846 	  0.0143 	 -0.1611
 2.00 	   0.857 	  0.0143 	 -0.1611
 2.10 	   0.868 	  0.0144 	 -0.1612
 2.20 	   0.879 	  0.0144 	 -0.1612
 2.30 	   0.890 	  0.0145 	 -0.1612
 2.40 	   0.901 	  0.0145 	 -0.1612
 2.50 	   0.913 	  0.0146 	 -0.1613
 2.60 	   0.924 	  0.0147 	 -0.1614
 2.70 	   0.935 	  0.0147 	 -0.1613
 2.80 	   0.945 	  0.0148 	 -0.1613
 2.90 	   0.956 	  0.0148 	 -0.1613
 3.00 	   0.967 	  0.0149 	 -0.1614
 3.10 	   0.978 	  0.0149 	 -0.1614
 3.20 	   0.990 	  0.0150 	 -0.1615
 3.30 	   1.000 	  0.0151 	 -0.1615
 3.40 	   1.011 	  0.0151 	 -0.1613
 3.50 	   1.021 	  0.0152 	 -0.1612
 3.60 	   1.031 	  0.0152 	 -0.1611
 3.70 	   1.042 	  0.0153 	 -0.1610
 3.80 	   1.053 	  0.0154 	 -0.1611
 3.90 	   1.063 	  0.0154 	 -0.1609
 4.00 	   1.073 	  0.0155 	 -0.1607
 4.10 	   1.083 	  0.0155 	 -0.1604
 4.20 	   1.094 	  0.0156 	 -0.1603
 4.30 	   1.103 	  0.0157 	 -0.1601
 4.40 	   1.113 	  0.0157 	 -0.1597
 4.50 	   1.123 	  0.0158 	 -0.1595
 4.60 	   1.133 	  0.0158 	 -0.1593
 4.70 	   1.142 	  0.0159 	 -0.1590
 4.80 	   1.152 	  0.0159 	 -0.1588
 4.90 	   1.162 	  0.0160 	 -0.1585
 5.00 	   1.172 	  0.0161 	 -0.1583
 5.10 	   1.181 	  0.0161 	 -0.1579
 5.20 	   1.190 	  0.0162 	 -0.1576
 5.30 	   1.200 	  0.0163 	 -0.1573
 5.40 	   1.209 	  0.0163 	 -0.1570
 5.50 	   1.218 	  0.0164 	 -0.1566
 5.60 	   1.228 	  0.0164 	 -0.1563
 5.70 	   1.237 	  0.0165 	 -0.1559
 5.80 	   1.246 	  0.0166 	 -0.1554
 5.90 	   1.254 	  0.0167 	 -0.1550
 6.00 	   1.263 	  0.0167 	 -0.1546
 6.10 	   1.272 	  0.0168 	 -0.1541
 6.20 	   1.280 	  0.0169 	 -0.1536
 6.30 	   1.288 	  0.0170 	 -0.1530
 6.40 	   1.296 	  0.0171 	 -0.1523
 6.50 	   1.304 	  0.0172 	 -0.1517
 6.60 	   1.311 	  0.0173 	 -0.1510
 6.70 	   1.318 	  0.0174 	 -0.1502
 6.80 	   1.325 	  0.0175 	 -0.1494
 6.90 	   1.331 	  0.0176 	 -0.1485
 7.00 	   1.336 	  0.0178 	 -0.1474
 7.10 	   1.340 	  0.0180 	 -0.1461
 7.20 	   1.342 	  0.0184 	 -0.1445
 7.30 	   1.343 	  0.0187 	 -0.1427
 7.40 	   1.344 	  0.0191 	 -0.1408
 7.50 	   1.344 	  0.0195 	 -0.1390
 7.60 	   1.345 	  0.0199 	 -0.1373
 7.70 	   1.346 	  0.0204 	 -0.1357
 7.80 	   1.347 	  0.0209 	 -0.1341
 7.90 	   1.349 	  0.0213 	 -0.1326
 8.00 	   1.350 	  0.0218 	 -0.1312
 8.10 	   1.352 	  0.0222 	 -0.1298
 8.20 	   1.354 	  0.0227 	 -0.1284
 8.30 	   1.356 	  0.0232 	 -0.1271
 8.35 	   1.357 	  0.0234 	 -0.1265
 8.50 	   1.360 	  0.0242 	 -0.1246
 8.60 	   1.363 	  0.0246 	 -0.1234
 8.70 	   1.365 	  0.0251 	 -0.1221
 8.80 	   1.368 	  0.0256 	 -0.1210
 8.90 	   1.370 	  0.0261 	 -0.1198
 9.00 	   1.372 	  0.0266 	 -0.1187
 9.10 	   1.375 	  0.0271 	 -0.1176
 9.20 	   1.377 	  0.0276 	 -0.1165
 9.30 	   1.379 	  0.0281 	 -0.1154
 9.40 	   1.382 	  0.0286 	 -0.1144
 9.50 	   1.383 	  0.0292 	 -0.1133
 9.60 	   1.386 	  0.0297 	 -0.1123
 9.70 	   1.387 	  0.0303 	 -0.1112
 9.80 	   1.389 	  0.0308 	 -0.1102
 9.90 	   1.391 	  0.0314 	 -0.1092
10.00 	   1.392 	  0.0319 	 -0.1080
10.10 	   1.392 	  0.0325 	 -0.1067
10.20 	   1.390 	  0.0328 	 -0.1047
10.30 	   1.392 	  0.0334 	 -0.1040
10.40 	   1.393 	  0.0342 	 -0.1032
10.50 	   1.396 	  0.0349 	 -0.1025
10.60 	   1.399 	  0.0355 	 -0.1018
10.70 	   1.400 	  0.0363 	 -0.1012
10.80 	   1.401 	  0.0372 	 -0.1004
10.90 	   1.404 	  0.0379 	 -0.0999
11.00 	   1.407 	  0.0386 	 -0.0993
11.10 	   1.408 	  0.0394 	 -0.0987
11.20 	   1.409 	  0.0404 	 -0.0981
11.30 	   1.410 	  0.0413 	 -0.0975
11.40 	   1.413 	  0.0420 	 -0.0971
11.50 	   1.415 	  0.0429 	 -0.0966
11.60 	   1.416 	  0.0438 	 -0.0961
11.70 	   1.417 	  0.0449 	 -0.0956
11.80 	   1.417 	  0.0459 	 -0.0951
11.90 	   1.419 	  0.0468 	 -0.0948
12.00 	   1.421 	  0.0477 	 -0.0944
12.10 	   1.422 	  0.0487 	 -0.0940
12.20 	   1.423 	  0.0498 	 -0.0937
12.30 	   1.421 	  0.0511 	 -0.0933
12.40 	   1.423 	  0.0522 	 -0.0930
12.50 	   1.424 	  0.0532 	 -0.0927
12.60 	   1.425 	  0.0543 	 -0.0925
12.70 	   1.426 	  0.0554 	 -0.0923
12.80 	   1.427 	  0.0566 	 -0.0921
12.90 	   1.426 	  0.0579 	 -0.0919
13.00 	   1.424 	  0.0594 	 -0.0917
13.10 	   1.424 	  0.0607 	 -0.0915
13.20 	   1.424 	  0.0620 	 -0.0914
13.30 	   1.424 	  0.0633 	 -0.0913
13.40 	   1.425 	  0.0647 	 -0.0912
13.50 	   1.425 	  0.0660 	 -0.0911
13.60 	   1.425 	  0.0674 	 -0.0911
13.70 	   1.425 	  0.0687 	 -0.0912
13.80 	   1.424 	  0.0702 	 -0.0912
13.90 	   1.423 	  0.0717 	 -0.0913
14.00 	   1.422 	  0.0733 	 -0.0914
14.10 	   1.419 	  0.0751 	 -0.0916
14.20 	   1.418 	  0.0767 	 -0.0917
14.30 	   1.419 	  0.0781 	 -0.0919
14.40 	   1.418 	  0.0797 	 -0.0921
14.50 	   1.418 	  0.0812 	 -0.0923
14.60 	   1.417 	  0.0828 	 -0.0925
14.70 	   1.416 	  0.0844 	 -0.0928
14.80 	   1.415 	  0.0861 	 -0.0931
14.90 	   1.415 	  0.0878 	 -0.0934
15.00 	   1.413 	  0.0896 	 -0.0938
15.10 	   1.412 	  0.0913 	 -0.0943
15.20 	   1.410 	  0.0931 	 -0.0947
15.30 	   1.409 	  0.0950 	 -0.0952
15.40 	   1.407 	  0.0969 	 -0.0958
15.50 	   1.405 	  0.0988 	 -0.0964
15.60 	   1.403 	  0.1008 	 -0.0970
15.70 	   1.400 	  0.1029 	 -0.0976
15.80 	   1.398 	  0.1049 	 -0.0983
15.90 	   1.395 	  0.1070 	 -0.0991
16.00 	   1.392 	  0.1092 	 -0.0999
16.10 	   1.389 	  0.1114 	 -0.1007
16.20 	   1.387 	  0.1134 	 -0.1015
16.30 	   1.385 	  0.1155 	 -0.1023
16.40 	   1.383 	  0.1176 	 -0.1031
16.50 	   1.381 	  0.1196 	 -0.1040
16.60 	   1.379 	  0.1218 	 -0.1049
16.70 	   1.377 	  0.1239 	 -0.1059
16.80 	   1.375 	  0.1261 	 -0.1069
16.90 	   1.372 	  0.1284 	 -0.1080
17.00 	   1.370 	  0.1307 	 -0.1092
17.10 	   1.367 	  0.1330 	 -0.1104
17.20 	   1.365 	  0.1354 	 -0.1116
17.30 	   1.362 	  0.1378 	 -0.1129
17.40 	   1.359 	  0.1403 	 -0.1143
17.50 	   1.356 	  0.1427 	 -0.1158
17.60 	   1.353 	  0.1453 	 -0.1173
17.70 	   1.350 	  0.1479 	 -0.1188
17.80 	   1.346 	  0.1505 	 -0.1205
17.90 	   1.343 	  0.1533 	 -0.1222
